,id,value,feed_id,created_at,lat,lon,ele
11862,0EZVEZV0RTMZ7TA38APMNT7706,"{""temp"": ""27"", ""humid"": ""42"", ""light"": ""909""}",1839383,2022-04-01 02:41:26 UTC,,,
11863,0EZVEZX5HR4YGD73F13JAR9E12,"{""temp"": ""26.09"", ""humid"": ""41"", ""light"": ""910""}",1839383,2022-04-01 02:41:33 UTC,,,
11864,0EZVEZZAVB9Y8A4VGW6H0WB8RW,"{""temp"": ""26.09"", ""humid"": ""41"", ""light"": ""900""}",1839383,2022-04-01 02:41:40 UTC,,,
11865,0EZVF01FG9D6FCSFEWMAAEMFCS,"{""temp"": ""26.09"", ""humid"": ""41"", ""light"": ""915""}",1839383,2022-04-01 02:41:47 UTC,,,
11866,0EZVF03MHD443512H5FND71HFF,"{""temp"": ""26.09"", ""humid"": ""41"", ""light"": ""919""}",1839383,2022-04-01 02:41:54 UTC,,,
11867,0EZVF0A7ABA789VN2AHAE5BV52,"{""temp"": ""26.08"", ""humid"": ""41"", ""light"": ""770""}",1839383,2022-04-01 02:42:15 UTC,,,
11868,0EZVF0CBTABAEDSS9402147ZHW,"{""temp"": ""26.08"", ""humid"": ""41"", ""light"": ""470""}",1839383,2022-04-01 02:42:22 UTC,,,
11869,0EZVF0EGNN4150VMSS7XVDVRGX,"{""temp"": ""26.08"", ""humid"": ""40"", ""light"": ""847""}",1839383,2022-04-01 02:42:29 UTC,,,
11870,0EZX9ZQRF4NAAS7GA03R85HRRR,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-04-03 09:40:46 UTC,,,
11871,0EZXE3DXKS3NJTVRF7PMX21QQE,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-04-03 13:30:55 UTC,,,
11872,0EZXE5RWMDP1H42KC52DKEM0NT,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""61""}",1839383,2022-04-03 13:35:01 UTC,,,
11873,0EZXEAD6Q9W9RBF5ZZWDDGR9SA,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-04-03 13:43:07 UTC,,,
11874,0EZXEASR4W6P2EKRG80WHP061D,"{""temp"": ""49"", ""humid"": ""50"", ""light"": ""51""}",1839383,2022-04-03 13:43:48 UTC,,,
11875,0EZY0D0QY6DGVEDBSX7SH6XVF0,"{""light"": ""434"", ""temp"": ""24.04"", ""humid"": ""51""}",1839383,2022-04-04 06:34:18 UTC,,,
11876,0EZY0D4DS44D9WARXFKR16BGQJ,"{""light"": ""430"", ""temp"": ""24.04"", ""humid"": ""50""}",1839383,2022-04-04 06:34:30 UTC,,,
11877,0EZY0DSWY81PKDV6YKDCX737AV,"{""temp"": ""24.04"", ""humid"": ""50"", ""light"": ""401""}",1839383,2022-04-04 06:35:41 UTC,,,
11878,0EZY0DXJYP1QB8N4FHJDHKB9B5,"{""temp"": ""24.04"", ""humid"": ""50"", ""light"": ""398""}",1839383,2022-04-04 06:35:53 UTC,,,
11879,0EZY0NMAZQDTSMJ949RKW67XAX,"{""temp"": ""24.05"", ""humid"": ""49"", ""light"": ""479""}",1839383,2022-04-04 06:49:21 UTC,,,
11880,0EZY0NPFGSNJN52BHX0SZ6CVJB,"{""temp"": ""24.05"", ""humid"": ""49"", ""light"": ""439""}",1839383,2022-04-04 06:49:28 UTC,,,
11881,0EZY0NRMAT38Z33CRBKKN8SDHZ,"{""temp"": ""24.06"", ""humid"": ""49"", ""light"": ""914""}",1839383,2022-04-04 06:49:36 UTC,,,
11882,0EZY0NTRWM1KRZ2BAEHP4R39KG,"{""temp"": ""24.06"", ""humid"": ""50"", ""light"": ""744""}",1839383,2022-04-04 06:49:43 UTC,,,
11883,0EZY0NWXTN4DWW1ZSZYK29BMAW,"{""temp"": ""24.06"", ""humid"": ""57"", ""light"": ""733""}",1839383,2022-04-04 06:49:50 UTC,,,
11884,0EZY0NZ2BBC3CFWE5B5QKEM8W3,"{""temp"": ""25"", ""humid"": ""90"", ""light"": ""749""}",1839383,2022-04-04 06:49:57 UTC,,,
11885,0EZY0P16YJ9M3TD7VPYHKA64N8,"{""temp"": ""26.02"", ""humid"": ""95"", ""light"": ""742""}",1839383,2022-04-04 06:50:04 UTC,,,
11886,0EZY0P3BXRF3GFFBZPS5H8MQ8A,"{""temp"": ""27.03"", ""humid"": ""79"", ""light"": ""700""}",1839383,2022-04-04 06:50:11 UTC,,,
11887,0EZY0P5GRWNP8VQ6ED174CCS55,"{""temp"": ""27.09"", ""humid"": ""54"", ""light"": ""715""}",1839383,2022-04-04 06:50:18 UTC,,,
11888,0EZY0P7NJVBBGCVKTG244W3A5M,"{""temp"": ""28.02"", ""humid"": ""47"", ""light"": ""697""}",1839383,2022-04-04 06:50:25 UTC,,,
